time,open,high,low,close,tick_volume,spread,real_volume
2026-05-07 18:00:00,1.17757,1.17779,1.17625,1.17646,3389,0,0
2026-05-07 18:30:00,1.17646,1.17712,1.1762299999999999,1.17636,2706,0,0
2026-05-07 19:00:00,1.17636,1.17659,1.17559,1.17632,3551,0,0
2026-05-07 19:30:00,1.17632,1.17646,1.17565,1.17603,1981,1,0
2026-05-07 20:00:00,1.17603,1.17608,1.17463,1.17471,2916,0,0
2026-05-07 20:30:00,1.17471,1.17498,1.17353,1.17488,4074,0,0
2026-05-07 21:00:00,1.17487,1.17514,1.17454,1.17508,2207,0,0
2026-05-07 21:30:00,1.17508,1.1752,1.17399,1.175,3384,0,0
2026-05-07 22:00:00,1.175,1.17542,1.17364,1.17412,3492,0,0
2026-05-07 22:30:00,1.17412,1.17484,1.17323,1.1733500000000001,2287,0,0
2026-05-07 23:00:00,1.1733500000000001,1.17447,1.1733,1.17347,1797,0,0
2026-05-07 23:30:00,1.17347,1.17356,1.17226,1.17228,1554,0,0
2026-05-08 00:00:00,1.17245,1.17297,1.17236,1.17282,412,12,0
2026-05-08 00:30:00,1.17282,1.17283,1.1723,1.17268,279,3,0
2026-05-08 01:00:00,1.17267,1.17315,1.1723,1.17288,1054,0,0
2026-05-08 01:30:00,1.17288,1.17297,1.17248,1.1724999999999999,721,2,0
2026-05-08 02:00:00,1.1724999999999999,1.17275,1.17239,1.1727400000000001,398,1,0
2026-05-08 02:30:00,1.1727400000000001,1.17314,1.1726,1.17304,521,2,0
2026-05-08 03:00:00,1.17305,1.17347,1.17261,1.17291,1820,1,0
2026-05-08 03:30:00,1.17291,1.17312,1.17269,1.17269,1107,0,0
2026-05-08 04:00:00,1.17269,1.17336,1.17269,1.17319,1512,0,0
2026-05-08 04:30:00,1.17319,1.17331,1.1728399999999999,1.17323,1014,1,0
2026-05-08 05:00:00,1.17324,1.17325,1.17283,1.17295,1026,1,0
2026-05-08 05:30:00,1.17295,1.17302,1.17238,1.17268,1583,1,0
2026-05-08 06:00:00,1.1727,1.17297,1.17265,1.17288,874,1,0
