open,high,low,close,tick_volume,EMA_20,EMA_50,RSI,MACD,Signal,Histogram
1.1739,1.17411,1.17383,1.17386,172,1.1737812609276639,1.1739806804629835,36.96969696969354,2.908662975031895e-05,1.7414886441669118e-05,1.167174330864983e-05
1.17386,1.17389,1.17371,1.17384,108,1.1737868551250292,1.1739751635820823,43.88489208633082,2.9356333411278968e-05,1.980317583559109e-05,9.553157575687878e-06
1.17384,1.17389,1.17362,1.17367,164,1.1737757260655028,1.173963196382785,42.361111111107896,1.567184102690966e-05,1.8976908873854804e-05,-3.3050678469451435e-06
1.17367,1.17379,1.17338,1.17349,305,1.1737485140592645,1.1739446396618913,38.36477987421427,-9.587198203098168e-06,1.3264087458464211e-05,-2.285128566156238e-05
1.1735,1.1738,1.17318,1.17333,679,1.1737086555774299,1.1739205361457388,36.09467455621364,-4.203132069746651e-05,2.205005827278066e-06,-4.423632652474458e-05
1.17334,1.17373,1.1733,1.17353,643,1.1736916407605318,1.1739052210027687,37.2093023255811,-5.1017099623740236e-05,-8.439415262925595e-06,-4.257768436081464e-05
1.17353,1.17366,1.17329,1.17358,448,1.1736810083071478,1.1738924672379543,51.11111111111002,-5.3487244370709064e-05,-1.744898108448229e-05,-3.6038263286226774e-05
1.17358,1.17385,1.17329,1.1738,559,1.1736923408493243,1.17388884107176,56.57894736841953,-3.726314416563348e-05,-2.1411813700712528e-05,-1.585133046492095e-05
1.1738,1.17388,1.17337,1.17339,616,1.1736635464827219,1.173869278676789,40.223463687149795,-5.6833856037163955e-05,-2.8496222168002812e-05,-2.8337633869161142e-05
1.17339,1.17384,1.17306,1.17372,625,1.173668923008177,1.1738634246110327,51.47058823529811,-4.519456925811127e-05,-3.18358915860245e-05,-1.3358677672086771e-05
1.17372,1.17392,1.17359,1.17378,553,1.173679501769303,1.173860153057659,51.94174757281731,-3.077410731711083e-05,-3.162353473224177e-05,8.494274151309351e-07
1.17378,1.17417,1.17367,1.17387,507,1.1736976444579408,1.1738605392122605,49.74619289339936,-1.1945835342697109e-05,-2.768799485433284e-05,1.574215951163573e-05
1.17387,1.17417,1.17368,1.17377,388,1.1737045354619464,1.1738569886549168,47.572815533980794,-5.035413307652448e-06,-2.3157478544996763e-05,1.8122065237344315e-05
1.17376,1.17382,1.17359,1.17379,297,1.1737126749417612,1.1738543616488417,47.31707317073023,2.031560233373142e-06,-1.8119670789322783e-05,2.0151231022695925e-05
1.17379,1.17382,1.17362,1.17367,260,1.1737086106615937,1.1738471317802597,45.539906103287905,-2.027438390950209e-06,-1.4901224309648269e-05,1.287378591869806e-05
1.17367,1.17388,1.17358,1.1737,397,1.1737077905985847,1.173841361906524,46.72897196261585,-2.7912984139621955e-06,-1.2479239130511056e-05,9.68794071654886e-06
1.1737,1.17376,1.17316,1.17335,491,1.1736737153034813,1.1738220928121506,43.10344827585959,-3.127818249604175e-05,-1.6239027803617195e-05,-1.5039154692424556e-05
1.17335,1.17358,1.17335,1.17351,467,1.1736581233698162,1.1738098538783408,50.4347826086985,-4.047698703302238e-05,-2.1086619649498234e-05,-1.9390367383524148e-05
1.17351,1.17378,1.17342,1.1736,364,1.1736525878107862,1.1738016243144844,56.05381165919278,-4.0043264239786325e-05,-2.4877948567555855e-05,-1.516531567223047e-05
1.1736,1.17366,1.17332,1.17344,368,1.1736323413526162,1.1737874429688184,47.94520547945372,-5.201065220217238e-05,-3.030448929447916e-05,-2.170616290769322e-05
1.17344,1.17351,1.17331,1.17335,342,1.173605451699986,1.1737702883425902,44.84304932735024,-6.797358405674636e-05,-3.78383082469326e-05,-3.0135275809813758e-05
1.17339,1.17351,1.17325,1.17337,236,1.1735830277285588,1.1737545907605278,39.408866995076636,-7.811008526403818e-05,-4.589266365035372e-05,-3.2217421613684456e-05
1.17337,1.17342,1.17313,1.17334,368,1.1735598822306008,1.1737383322993307,48.48484848485216,-8.755480746036604e-05,-5.4225092412356186e-05,-3.332971504800985e-05
1.17334,1.17346,1.17323,1.17344,354,1.1735484648753056,1.1737266329934746,40.14084507042033,-8.597953502209599e-05,-6.057598093430416e-05,-2.540355408779183e-05
1.17344,1.17364,1.17333,1.1735,400,1.1735438491728956,1.173717745425103,40.14084507042033,-7.897919866706182e-05,-6.42566244808557e-05,-1.4722574186206122e-05
1.1735,1.17369,1.17334,1.17363,422,1.173552054013572,1.1737143044280403,41.7808219178077,-6.222418643830885e-05,-6.385013687234634e-05,1.6259504340374877e-06
1.17364,1.17368,1.17327,1.17333,315,1.1735309060122794,1.1736992336661562,36.746987951807306,-7.231955649911193e-05,-6.554402079769945e-05,-6.7755357014124716e-06
1.17333,1.17352,1.17319,1.1734,384,1.1735184387730149,1.1736874990125816,38.59649122807404,-7.382083439289033e-05,-6.719938351673763e-05,-6.621450876152701e-06
1.17339,1.17342,1.17261,1.1727,728,1.173440492223204,1.1736487735611079,28.82096069869297,-0.00012999624203735571,-7.975875522086125e-05,-5.0237486816494465e-05
1.1727,1.17289,1.17243,1.17265,604,1.1733652072495655,1.1736096059704761,27.272727272729895,-0.00017651547888664076,-9.911009995401717e-05,-7.74053789326236e-05
1.17265,1.17265,1.17217,1.17248,758,1.1732809017972259,1.173565307697124,29.57746478873591,-0.00022451185557637032,-0.0001241904510784878,-0.00010032140449788251
1.17248,1.1725,1.17174,1.17198,844,1.1731570063879664,1.173503138767825,19.02834008097068,-0.0002994433546286146,-0.0001592410317885132,-0.0001402023228401014
1.17198,1.17232,1.17165,1.17181,1098,1.1730287200653031,1.1734367411690867,14.901960784315264,-0.00036829916323499745,-0.00020105265807781003,-0.00016724650515718742
1.17181,1.17196,1.17167,1.17171,765,1.1729031276781314,1.1733690258291225,15.261044176708083,-0.0004260260883452993,-0.00024604734413130787,-0.00017997874421399145
1.17171,1.17175,1.171,1.17121,761,1.1727418774230713,1.1732843581495491,13.103448275864125,-0.0005062847779522262,-0.00029809483089549157,-0.00020818994705673458
